id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_trade,first_priced_at
ABT,ABT,ABT,Arcblock,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/abt.png,active,0.07950715,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,98580000,186000000,7837815,21,45,0,2018-02-24T00:00:00Z,2019-02-14T00:00:00Z,360,-9,1.65492083,2018-05-05T00:00:00Z,5018812.07,-0.00422311,-0.0504,-572607.56,-0.1024,-416314.43,-0.0504,2018-02-24T00:00:00Z,
BLOCK,BLOCK,BLOCK,Blocknet,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/block.svg,active,1.06533819,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,7339960,,7819540,10,19,0,2014-10-29T00:00:00Z,2018-09-12T00:00:00Z,361,-2,56.23947799,2018-01-06T00:00:00Z,6710.20,0.01357410,0.0129,1165.16,0.2101,101120.53,0.0131,2017-11-22T00:00:00Z,
CBAT,CBAT,CBAT,Compound Basic Attention Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CBAT.svg,active,0.00360350,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,2165896890,2165896890,7804814,3,4,0,2019-09-14T00:00:00Z,,362,-8,0.00777801,2020-10-22T00:00:00Z,3571.50,-0.00002526,-0.0070,,,-53007.97,-0.0067,,
NEBL,NEBL,NEBL,Neblio,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/nebl.svg,active,0.45037694,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,17180406,,7737659,8,26,7,2017-11-06T00:00:00Z,2018-08-29T00:00:00Z,363,-3,46.09023461,2018-01-09T00:00:00Z,142977.25,0.00621385,0.0140,33323.80,0.3039,108312.08,0.0142,2017-11-09T00:00:00Z,
UBQ,UBQ,UBQ,Ubiq,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ubq.svg,active,0.18076039,2020-12-06T00:00:00Z,2020-12-06T20:16:00Z,42609099,,7702037,3,3,0,2017-02-08T00:00:00Z,2018-09-12T00:00:00Z,364,-8,6.90515045,2018-01-03T00:00:00Z,11981.26,-0.00232870,-0.0127,1854.90,0.1832,-99223.92,-0.0127,2017-11-22T00:00:00Z,
UPP,UPP,UPP,Sentinel Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/upp.png,active,0.02312778,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,328093657,500000000,7588077,11,17,0,2018-06-15T00:00:00Z,2018-09-12T00:00:00Z,365,-21,0.10625130,2018-06-15T00:00:00Z,488176.02,-0.00348360,-0.1309,-433869.94,-0.4706,-1142946.23,-0.1309,2018-06-15T00:00:00Z,
GEN,GEN,GEN,DAOstack,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/gen.jpg,active,0.15907081,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,46832939,60000000,7449754,18,32,0,2018-05-09T00:00:00Z,2019-04-17T00:00:00Z,366,3,1.30195816,2018-05-10T00:00:00Z,298699.84,0.00538128,0.0350,-585623.85,-0.6622,252021.03,0.0350,2018-05-09T00:00:00Z,
CUT,CUT,CUT,CUTcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUT.jpg,active,0.05813006,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,126238838,200000000,7338271,4,6,0,2019-06-19T00:00:00Z,2019-09-05T00:00:00Z,367,-1,0.08362237,2019-11-10T00:00:00Z,19646.32,0.00085500,0.0149,-2810.78,-0.1252,112400.09,0.0156,,
TNB,TNB,TNB,Time New Bank,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/tnb.svg,active,0.00211428,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,3436586618,4415707418,7265916,18,39,0,2017-11-27T00:00:00Z,2018-08-29T00:00:00Z,368,0,0.31100992,2018-01-08T00:00:00Z,186599.10,0.00001925,0.0092,-149309.45,-0.4445,66161.09,0.0092,2017-12-15T00:00:00Z,
WGR,WGR,WGR,Wagerr,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WGR.png,active,0.03363499,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,215194946,,7238081,7,16,0,2018-09-03T00:00:00Z,2019-06-07T00:00:00Z,369,11,0.08525815,2019-06-06T00:00:00Z,4912.27,0.00272020,0.0880,-3713.02,-0.4305,583417.61,0.0877,,
GO,GO,GO,GoChain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/go.png,active,0.00730444,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,985726680,1023029363,7200180,9,15,0,2018-06-14T00:00:00Z,2018-09-12T00:00:00Z,370,1,0.10553181,2018-07-09T00:00:00Z,205295.19,0.00006465,0.0089,40958.63,0.2492,63725.76,0.0089,2018-08-28T00:00:00Z,
APM,APM,APM,apM Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/APM.png,active,0.01987795,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,361875000,1812500000,7193332,5,7,0,2020-02-21T00:00:00Z,2020-02-21T00:00:00Z,371,1,0.70215003,2020-02-23T00:00:00Z,275705.83,0.00015734,0.0080,-356115.07,-0.5636,56937.70,0.0080,2020-03-19T00:00:00Z,
PAY,PAY,PAY,TenX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pay.svg,active,0.06019834,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,118141601,205218256,7111928,31,63,0,2017-06-19T00:00:00Z,2018-09-12T00:00:00Z,372,-11,73.10177163,2017-07-06T00:00:00Z,23053941.60,-0.00369558,-0.0578,8755943.50,0.6124,-436601.81,-0.0578,2017-06-19T00:00:00Z,
SOUL,SOUL,SOUL,Phantasma,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/soul.png,active,0.07433485,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,95612519,98512519,7107342,11,17,0,2018-06-09T00:00:00Z,2019-07-26T00:00:00Z,373,-11,0.40507918,2018-06-09T00:00:00Z,144264.06,-0.00419007,-0.0534,-38180.07,-0.2093,-400622.94,-0.0534,2018-06-09T00:00:00Z,
KEY,KEY,KEY,SelfKey,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/key.png,active,0.00253929,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,2793409680,5999999954,7093290,31,55,0,2018-01-15T00:00:00Z,2018-08-29T00:00:00Z,374,-10,0.05254174,2018-01-20T00:00:00Z,932005.07,-0.00008142,-0.0311,-350520.61,-0.2733,-227441.78,-0.0311,2018-01-15T00:00:00Z,
INSTAR,INSTAR,INSTAR,Insights Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/instar.jpg,active,0.03338886,2020-12-06T00:00:00Z,2020-12-06T17:07:00Z,210835683,300000000,7039563,4,6,0,2018-03-01T00:00:00Z,2019-06-05T00:00:00Z,375,7,0.14699449,2018-03-04T00:00:00Z,130.84,0.00202106,0.0644,91.43,2.3199,426111.67,0.0644,2018-03-01T00:00:00Z,
CMT,CMT,CMT,CyberMiles,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cmt.png,active,0.00872939,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,800000000,1000000000,6983514,21,57,0,2017-12-05T00:00:00Z,2018-08-29T00:00:00Z,376,-1,0.57364300,2018-01-07T00:00:00Z,659794.81,0.00001545,0.0018,102990.25,0.1850,12356.94,0.0018,2017-12-05T00:00:00Z,
LOC,LOC,LOC,LockTrip,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/loc.png,active,0.41793643,2020-12-06T00:00:00Z,2020-12-06T19:47:00Z,16510837,18585933,6900480,9,14,0,2017-12-15T00:00:00Z,2019-06-04T00:00:00Z,377,1,3.63759186,2018-01-09T00:00:00Z,640.84,0.00646165,0.0157,239.68,0.5975,106687.29,0.0157,2017-12-15T00:00:00Z,
ACT,ACT,ACT,Achain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/act.png,active,0.00798533,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,857440445,1000000000,6846947,14,28,0,2017-12-19T00:00:00Z,2019-02-14T00:00:00Z,378,8,1.39146158,2018-01-09T00:00:00Z,2496275.94,0.00047038,0.0626,-16242.08,-0.0065,403325.05,0.0626,2018-02-24T00:00:00Z,
MAN,MAN,MAN,Matrix AI Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/man.png,active,0.04528267,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,150000000,250000000,6792401,14,27,0,2018-01-20T00:00:00Z,2018-09-07T00:00:00Z,379,9,1.79853889,2018-01-22T00:00:00Z,542749.21,0.00287069,0.0677,6156.39,0.0115,430603.57,0.0677,2018-01-20T00:00:00Z,
CHT2,CHT2,CHT,CoinHe Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHT2.jpg,active,0.10246926,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,66257948,200000000,6789403,2,3,0,2020-03-04T00:00:00Z,2020-03-11T00:00:00Z,380,5,0.18994842,2020-11-24T00:00:00Z,121821.34,0.00483444,0.0495,7655.41,0.0671,320319.91,0.0495,2020-04-08T00:00:00Z,
SWFTC,SWFTC,SWFTC,SwftCoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/swftc.png,active,0.00103790,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,6504999999,10000000000,6751539,16,31,0,2017-12-18T00:00:00Z,2019-02-14T00:00:00Z,381,-14,0.08748828,2018-01-10T00:00:00Z,4141013.10,-0.00006943,-0.0627,240909.89,0.0618,-451626.25,-0.0627,2017-12-18T00:00:00Z,
SNTVT,SNTVT,SNTVT,Sentivate,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/sntvt.jpg,active,0.00279170,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,2413888269,4200000000,6738856,9,17,0,2019-04-22T00:00:00Z,2020-01-07T00:00:00Z,382,14,0.00994057,2020-09-01T00:00:00Z,210854.17,0.00026844,0.1064,2930.43,0.0141,647972.10,0.1064,2019-04-22T00:00:00Z,
XIO,XIO,XIO,XIO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XIO.png,active,0.32314661,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,20507146,100000000,6626815,9,18,0,2019-11-10T00:00:00Z,2020-04-09T00:00:00Z,383,17,0.84667834,2020-08-10T00:00:00Z,347210.47,0.03933916,0.1386,-14407.41,-0.0398,806733.92,0.1386,2019-11-10T00:00:00Z,
TOMOE,TOMOE,TOMOE,TomoChain ERC-20,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TOMOE.jpeg,active,0.71451890,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,9247049,9247049,6607191,3,9,0,2020-09-24T00:00:00Z,2020-10-08T00:00:00Z,384,-7,1.12797783,2020-09-30T00:00:00Z,175719.17,-0.02836272,-0.0382,16583.82,0.1042,-264436.35,-0.0385,,
XMX,XMX,XMX,XMAX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xmx.jpg,active,0.00024212,2020-12-06T00:00:00Z,2020-12-06T20:46:00Z,27000000000,30000000000,6537310,11,21,0,2018-06-20T00:00:00Z,2019-02-15T00:00:00Z,385,2,0.00619375,2019-06-27T00:00:00Z,165099.20,0.00000483,0.0203,20768.41,0.1439,130338.96,0.0203,2018-06-20T00:00:00Z,
BIX,BIX,BIX,Bibox Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bix.png,active,0.05714097,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,114399166,267941449,6536880,7,42,0,2017-11-26T00:00:00Z,2019-02-15T00:00:00Z,386,9,3.38298566,2018-01-07T00:00:00Z,23122539.70,0.00362772,0.0678,233474.53,0.0102,415008.69,0.0678,,
CSC,CSC,CSC,CasinoCoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CSC.png,active,0.00016178,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,39999552345,,6471270,6,19,3,2019-06-05T00:00:00Z,2020-01-07T00:00:00Z,387,-6,0.00139025,2020-01-05T00:00:00Z,9271.59,-0.00000383,-0.0231,-4192.45,-0.3114,-153013.29,-0.0231,,
LET,LET,LET,LinkEye,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/let.jpg,active,0.01023935,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,624044958,1000000000,6389817,7,19,0,2018-12-17T00:00:00Z,2019-02-14T00:00:00Z,388,3,0.01449549,2020-09-24T00:00:00Z,1710028.00,0.00017257,0.0171,-464641.32,-0.2137,107690.68,0.0171,,
DOUGH,DOUGH,DOUGH,PieDAO DOUGH v2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DOUGH.jpeg,active,0.88858323,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,7168247,72800522,6369584,3,6,0,2020-10-04T00:00:00Z,2020-10-10T00:00:00Z,389,-13,2.14225219,2020-10-10T00:00:00Z,139963.57,-0.07724502,-0.0800,-51856.10,-0.2703,-547001.36,-0.0791,,
EVX,EVX,EVX,Everex,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/evx.svg,active,0.29216257,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,21800000,25000000,6369144,20,38,0,2017-07-17T00:00:00Z,2018-08-29T00:00:00Z,390,2,5.98142147,2018-01-07T00:00:00Z,351253.11,0.00421463,0.0146,-536758.65,-0.6044,91879.02,0.0146,2017-07-17T00:00:00Z,
MHC,MHC,MHC,#MetaHash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MHC.png,active,0.00268740,2020-12-06T00:00:00Z,2020-12-06T19:35:00Z,2352169447,9200000000,6321213,5,17,0,2019-02-16T00:00:00Z,2019-05-10T00:00:00Z,391,-12,0.09846990,2019-03-30T00:00:00Z,402524.36,-0.00016742,-0.0586,-197809.68,-0.3295,-388275.12,-0.0579,,
DERO,DERO,DERO,Dero,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DERO.png,active,0.61819494,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,10211158,18400000,6312486,14,24,0,2017-07-09T00:00:00Z,2019-05-22T00:00:00Z,392,5,1.44456129,2019-07-11T00:00:00Z,596460.63,0.02307716,0.0388,-148781.24,-0.1996,237041.30,0.0390,,
HUNT,HUNT,HUNT,HUNT Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HUNT.png,active,0.05747755,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,109257944,210129104,6279879,5,7,0,2020-03-19T00:00:00Z,2020-03-20T00:00:00Z,393,0,0.11313616,2020-09-15T00:00:00Z,3528695.68,0.00034975,0.0061,1827483.96,1.0742,38212.87,0.0061,2020-03-26T00:00:00Z,
BRD,BRD,BRD,Bread,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/brd.svg,active,0.08481797,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,73125373,88862718,6202345,9,15,0,2017-12-24T00:00:00Z,2018-08-29T00:00:00Z,394,14,3.23736192,2018-01-07T00:00:00Z,1512372.17,0.00770267,0.0999,1122260.30,2.8768,563260.30,0.0999,2017-12-24T00:00:00Z,
JRT,JRT,JRT,Jarvis Reward Token,,active,0.06913176,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,87978026,225861521,6082076,10,21,0,2020-04-09T00:00:00Z,2020-04-09T00:00:00Z,395,3,0.26303669,2020-08-13T00:00:00Z,572291.70,0.00045279,0.0066,-71199.48,-0.1106,39842.02,0.0066,2020-09-02T00:00:00Z,
XDB,XDB,XDB,DigitalBits,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XDB.jpg,active,0.01738108,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,344265512,1500000000,5983705,10,19,0,2019-06-19T00:00:00Z,2020-01-07T00:00:00Z,396,-13,0.03755537,2020-02-19T00:00:00Z,724434.03,-0.00175977,-0.0919,-13322.80,-0.0181,-605829.14,-0.0919,2019-08-14T00:00:00Z,
GVT,GVT,GVT,Genesis Vision,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/gvt.svg,active,1.34730097,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,4436644,4436644,5977495,18,33,0,2017-11-16T00:00:00Z,2018-08-29T00:00:00Z,397,-3,38.88334249,2018-03-08T00:00:00Z,107375.49,-0.05494072,-0.0392,-106561.92,-0.4981,-243752.42,-0.0392,2017-11-16T00:00:00Z,
FRM,FRM,FRM,Ferrum Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FRM.png,active,0.05151520,2020-12-06T00:00:00Z,2020-12-06T20:47:00Z,115531410,331718749,5951624,10,21,0,2017-07-09T00:00:00Z,2019-08-05T00:00:00Z,398,13,0.09650102,2020-09-01T00:00:00Z,707232.22,0.00330062,0.0685,96813.65,0.1586,381325.48,0.0685,2019-08-26T00:00:00Z,
XDN,XDN,XDN,DigitalNote,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xdn.svg,active,0.00115131,2020-12-06T00:00:00Z,2020-12-06T20:45:00Z,5089884687,6999999982,5860028,6,9,0,2014-06-21T00:00:00Z,2018-09-12T00:00:00Z,399,-9,0.08571086,2018-01-06T00:00:00Z,54121.46,-0.00008859,-0.0715,24424.54,0.8225,-450758.38,-0.0714,2014-07-15T00:00:00Z,
PART,PART,PART,Particl,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/part.svg,active,0.59617653,2020-12-06T00:00:00Z,2020-12-06T14:32:00Z,9728718,,5800033,12,17,0,2017-07-20T00:00:00Z,2018-09-12T00:00:00Z,400,-35,48.30414601,2018-01-14T00:00:00Z,634.12,-0.15292834,-0.2041,-201.61,-0.2412,-1487443.93,-0.2041,2017-11-22T00:00:00Z,
