id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_trade,first_priced_at
COCOS,COCOS,COCOS,COCOS BCX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/COCOS.jpeg,active,0.00029743,2020-12-06T00:00:00Z,2020-12-06T20:44:00Z,39326586220,100000000000,11696922,14,25,0,2019-06-17T00:00:00Z,2019-07-11T00:00:00Z,314,1,0.00442419,2019-08-03T00:00:00Z,837608.56,0.00000434,0.0148,-4394.71,-0.0052,170504.42,0.0148,2019-08-21T00:00:00Z
AERGO,AERGO,AERGO,Aergo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/aergo.png,active,0.04372891,2020-12-06T00:00:00Z,2020-12-06T20:40:00Z,264019890,500000000,11545303,15,28,0,2018-12-19T00:00:00Z,2019-03-15T00:00:00Z,315,-1,0.47413020,2019-04-09T00:00:00Z,3912071.51,-0.00036399,-0.0083,320333.97,0.0892,-96099.80,-0.0083,2019-03-15T00:00:00Z
QASH,QASH,QASH,QASH,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/qash.svg,active,0.03286932,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,349999989,1000000000,11504260,14,132,0,2017-11-05T00:00:00Z,2018-09-07T00:00:00Z,316,-7,2.42551206,2018-01-14T00:00:00Z,124813.77,-0.00218288,-0.0623,-55843.52,-0.3091,-764007.39,-0.0623,2017-11-05T00:00:00Z
COV,COV,COV,Covesting,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cov.svg,active,0.57497767,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,19999996,19999996,11499551,7,12,0,2018-01-13T00:00:00Z,2019-07-26T00:00:00Z,317,2,5.96296043,2018-01-14T00:00:00Z,16049.08,0.01335440,0.0238,-44058.47,-0.7330,267087.92,0.0238,2018-01-13T00:00:00Z
GHOST,GHOST,GHOST,GHOSTPRISM,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GHOST.png,active,3.53275291,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,3201265,175000000,11309278,6,9,0,2020-04-06T00:00:00Z,2020-04-12T00:00:00Z,318,0,3.68199231,2020-11-30T00:00:00Z,340464.91,0.00931146,0.0026,7836.73,0.0236,52548.04,0.0047,2020-04-23T00:00:00Z
DF,DF,DF,dForce Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DF.jpg,active,0.09156641,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,123498500,999955003,11308314,23,35,0,2019-08-02T00:00:00Z,2020-06-19T00:00:00Z,319,1,0.83582205,2020-09-01T00:00:00Z,1399088.64,0.00089222,0.0098,-69675.36,-0.0474,110187.74,0.0098,2020-09-01T00:00:00Z
MDT,MDT,MDT,Measurable Data Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/mdt.png,active,0.01842389,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,606319736,1000000000,11170765,13,33,0,2018-01-05T00:00:00Z,2019-02-14T00:00:00Z,320,4,0.80831961,2018-01-07T00:00:00Z,1411112.67,0.00071270,0.0402,291394.87,0.2602,432124.15,0.0402,2018-01-05T00:00:00Z
BTC2,BTC2,BTC2,Bitcoin 2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BTC2.png,active,0.61814291,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,17804501,21000000,11005726,4,10,0,2019-06-07T00:00:00Z,2019-06-07T00:00:00Z,321,1,2.64366341,2019-06-09T00:00:00Z,119.51,0.00292648,0.0048,-358.65,-0.7501,52414.85,0.0048,
WTC,WTC,WTC,Waltoncoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WTC.png,active,0.37071506,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,29182765,70000000,10818490,38,76,0,2017-08-27T00:00:00Z,2018-08-29T00:00:00Z,322,-1,42.03947319,2018-01-27T00:00:00Z,1617492.80,-0.00555199,-0.0148,-644258.69,-0.2848,-162022.49,-0.0148,2017-08-27T00:00:00Z
GTO,GTO,GTO,Gifto,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/gto.svg,active,0.01628663,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,662679535,1000000000,10792814,23,42,0,2017-12-18T00:00:00Z,2018-08-29T00:00:00Z,323,-6,0.91150268,2018-01-12T00:00:00Z,10094066.33,-0.00072055,-0.0424,-4601780.47,-0.3131,-477496.50,-0.0424,2017-12-18T00:00:00Z
