id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,max_supply,first_trade
BNT,BNT,BNT,Bancor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bnt.svg,active,1.00107352,2020-12-02T00:00:00Z,2020-12-02T21:09:00Z,85117176,85208552,68,321,180,2017-06-09T00:00:00Z,2018-08-29T00:00:00Z,114,1,24.60793569,2017-06-19T00:00:00Z,23566781.34,0.02479520,0.0254,231722.40,0.0099,2110497.62,0.0254,88219898,2017-06-09T00:00:00Z
ENG,ENG,ENG,Enigma,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eng.svg,active,1.02751967,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,82717912,84994281,33,65,0,2017-08-04T00:00:00Z,2018-08-29T00:00:00Z,115,3,7.84076684,2018-01-10T00:00:00Z,1580059.42,0.04776890,0.0488,-19063.08,-0.0119,3951344.03,0.0488,150000000,2017-08-04T00:00:00Z
YFII,YFII,YFII,YFII.money,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/YFII.jpg,active,2131.37789794,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,39725,84669837,43,86,0,2020-07-29T00:00:00Z,2020-07-29T00:00:00Z,116,5,8002.68385402,2020-09-01T00:00:00Z,179739978.17,220.56252040,0.1154,-5990376.55,-0.0323,8761934.10,0.1154,40000,2020-07-29T00:00:00Z
REPV2,REPV2,REP,Augur V2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/rep.svg,active,15.31660619,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,5513550,84448869,7,17,0,2016-10-07T00:00:00Z,2020-07-30T00:00:00Z,117,0,118.02979587,2017-12-19T00:00:00Z,552317.52,0.36270386,0.0243,291182.62,1.1151,2054739.58,0.0249,5513550,2020-08-04T00:00:00Z
GT,GT,GT,Gatechain Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GT.png,active,0.45282985,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,186481419,84444353,18,43,0,2019-04-21T00:00:00Z,2019-06-04T00:00:00Z,118,-5,0.98536901,2019-08-12T00:00:00Z,11759588.22,0.00045982,0.0010,-1024848.61,-0.0802,85747.00,0.0010,300000000,2019-04-21T00:00:00Z
CKB,CKB,CKB,Nervos Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CKB.png,active,0.00388711,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,21612084547,84008481,27,38,0,2019-08-15T00:00:00Z,2019-08-18T00:00:00Z,119,-7,0.01013146,2019-11-17T00:00:00Z,6258882.80,-0.00005471,-0.0139,-2148880.09,-0.2556,-1135509.09,-0.0133,,2019-11-16T00:00:00Z
MAID,MAID,MAID,MaidSafeCoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/maid.svg,active,0.18438146,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,452552412,83442276,5,18,0,2014-07-09T00:00:00Z,2018-12-05T00:00:00Z,120,-1,1.17259633,2018-01-03T00:00:00Z,821150.44,0.01124037,0.0649,238833.51,0.4101,5086856.62,0.0649,452552412,2014-07-09T00:00:00Z
CVC,CVC,CVC,Civic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cvc.svg,active,0.12395819,2020-12-02T00:00:00Z,2020-12-02T21:09:00Z,670000000,83051984,48,105,0,2017-06-16T00:00:00Z,2018-08-29T00:00:00Z,121,20,1.37247896,2018-01-03T00:00:00Z,197521611.95,0.03553316,0.4018,144961050.26,2.7580,23807216.78,0.4018,1000000000,2017-06-16T00:00:00Z
KAVA,KAVA,KAVA,Kava,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KAVA.png,active,1.76151776,2020-12-02T00:00:00Z,2020-12-02T21:09:00Z,46876230,82573312,24,41,0,2019-10-25T00:00:00Z,2019-10-25T00:00:00Z,122,-2,5.07725504,2020-08-16T00:00:00Z,20950632.86,0.09759887,0.0587,-4513917.62,-0.1773,4575066.92,0.0587,112571406,2019-10-25T00:00:00Z
UOS,UOS,UOS,Ultra,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UOS.png,active,0.15434091,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,509627061,78656305,12,20,0,2019-07-17T00:00:00Z,2019-07-17T00:00:00Z,123,4,0.20856005,2020-08-31T00:00:00Z,1130821.72,0.01484738,0.1064,-879347.56,-0.4374,7566628.69,0.1064,1000000000,2019-07-17T00:00:00Z
