id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$,mcap_percent
BLOCKSTACK,224323476,1417934.76,0.04,$0.22B,$0.00B,$0.22B (0.04%)
RUNE,214438654,16755735.58,0.04,$0.21B,$0.02B,$0.21B (0.04%)
BAL,207501907,31877590.74,0.04,$0.21B,$0.03B,$0.21B (0.04%)
KNC,204002565,30962172.37,0.04,$0.20B,$0.03B,$0.20B (0.04%)
RSR,196922399,31097395.3,0.03,$0.20B,$0.03B,$0.20B (0.03%)
LSK,196616936,4458115.52,0.03,$0.20B,$0.00B,$0.20B (0.03%)
LUNA,191043802,8717708.93,0.03,$0.19B,$0.01B,$0.19B (0.03%)
XWC,180106908,257474.46,0.03,$0.18B,$0.00B,$0.18B (0.03%)
VITAE,179861942,1096475.83,0.03,$0.18B,$0.00B,$0.18B (0.03%)
NEXO,178511368,9062909.6,0.03,$0.18B,$0.01B,$0.18B (0.03%)
SOLO,173596971,9766.79,0.03,$0.17B,$0.00B,$0.17B (0.03%)
OCEAN,164800775,23581250.35,0.03,$0.16B,$0.02B,$0.16B (0.03%)
NMR,164698905,8378820.49,0.03,$0.16B,$0.01B,$0.16B (0.03%)
BTG,160467444,14116356.62,0.03,$0.16B,$0.01B,$0.16B (0.03%)
EGLD,160446474,28704067.29,0.03,$0.16B,$0.03B,$0.16B (0.03%)
SC,155635329,4747080.67,0.03,$0.16B,$0.00B,$0.16B (0.03%)
SNT,155546583,12777652.73,0.03,$0.16B,$0.01B,$0.16B (0.03%)
NXM,153424419,61242.76,0.03,$0.15B,$0.00B,$0.15B (0.03%)
NANO,153277223,6772300.18,0.03,$0.15B,$0.01B,$0.15B (0.03%)
QNT,149186849,5050666.17,0.03,$0.15B,$0.01B,$0.15B (0.03%)
BAND,145061182,59951762.99,0.03,$0.15B,$0.06B,$0.15B (0.03%)
ZEN,143758544,13270945.58,0.02,$0.14B,$0.01B,$0.14B (0.02%)
ENJ,141796491,10801624.42,0.02,$0.14B,$0.01B,$0.14B (0.02%)
MANA,121664083,30859148.91,0.02,$0.12B,$0.03B,$0.12B (0.02%)
XVG,121593239,4457093.33,0.02,$0.12B,$0.00B,$0.12B (0.02%)
ANT,115942169,25777175.94,0.02,$0.12B,$0.03B,$0.12B (0.02%)
BTM,111173121,14121472.9,0.02,$0.11B,$0.01B,$0.11B (0.02%)
HOT,109456235,6588960.66,0.02,$0.11B,$0.01B,$0.11B (0.02%)
CRV,107828944,100912244.24,0.02,$0.11B,$0.10B,$0.11B (0.02%)
RVN,107767774,5086329.54,0.02,$0.11B,$0.01B,$0.11B (0.02%)
IOST,107162328,33397211.11,0.02,$0.11B,$0.03B,$0.11B (0.02%)
KRT,103712477,49094.24,0.02,$0.10B,$0.00B,$0.10B (0.02%)
BCD,103317287,1747663.04,0.02,$0.10B,$0.00B,$0.10B (0.02%)
XDCE,102250322,871043.55,0.02,$0.10B,$0.00B,$0.10B (0.02%)
CHSB,102228045,515692.6,0.02,$0.10B,$0.00B,$0.10B (0.02%)
MONA,101717032,2985570.25,0.02,$0.10B,$0.00B,$0.10B (0.02%)
SOL,98004112,18062799.67,0.02,$0.10B,$0.02B,$0.10B (0.02%)
AR,96832678,2478080.81,0.02,$0.10B,$0.00B,$0.10B (0.02%)
LEND,93433487,1306068.02,0.02,$0.09B,$0.00B,$0.09B (0.02%)
AVAX,93293354,20507716.68,0.02,$0.09B,$0.02B,$0.09B (0.02%)
MATIC,92897563,7842876.24,0.02,$0.09B,$0.01B,$0.09B (0.02%)
HELIUM,89967300,660070.24,0.02,$0.09B,$0.00B,$0.09B (0.02%)
XAUT,89009144,331438.94,0.02,$0.09B,$0.00B,$0.09B (0.02%)
