Date,Close,Volume,Sentiment,Bitcoin
2013-04-01,139.25,46862700.0,-0.4,0.0
2013-05-01,119.99258064516128,46862700.0,0.3333333333333333,0.0
2013-06-01,107.76133333333335,46862700.0,0.0,0.0
2013-07-01,90.51225806451616,46862700.0,0.0,0.0
2013-08-01,113.90516129032257,46862700.0,1.0,0.0
2013-09-01,130.06166666666667,46862700.0,0.0,0.0
2013-10-01,158.311935483871,46862700.0,-1.0,0.0
2013-11-01,550.4206666666668,46862700.0,1.0,0.0
2013-12-01,800.7809677419355,43819838.70967742,-1.0,0.0
2014-01-01,844.1683870967743,37206015.741935484,0.2,0.0
2014-02-01,661.6182142857143,45345939.28571428,-1.0,0.0
2014-03-01,592.2003225806451,24644494.387096774,0.0,0.0
2014-04-01,461.36266666666666,26310141.0,0.0,0.0
2014-05-01,486.65129032258056,16235454.838709677,0.0,0.0
2014-06-01,615.9169999999999,24062438.333333332,0.6666666666666666,0.0
2014-07-01,618.0251612903227,14539540.322580645,1.0,0.0
2014-08-01,536.0880645161291,22404015.80645161,0.0,0.0
2014-09-01,445.18600000000004,23219071.666666668,1.0,0.0
2014-10-01,364.1493548387098,29128853.225806452,0.0,0.0
2014-11-01,366.0996666666667,21991112.0,0.0,0.0
2014-12-01,341.2680645161291,17842010.0,0.5,0.0
2015-01-01,248.7832258064516,35445545.548387095,0.0,0.0
2015-02-01,234.1532142857143,25411382.14285714,0.0,0.0
2015-03-01,269.0422580645162,30938654.83870968,0.0,0.0
2015-04-01,235.49200000000005,22411290.0,0.0,0.0
2015-05-01,236.99709677419355,18326535.48387097,0.0,0.0
2015-06-01,238.08100000000002,20992673.333333332,0.0,0.0
2015-07-01,279.56354838709683,32254587.096774194,0.0,0.0
2015-08-01,250.73419354838714,29199751.612903226,0.0,0.0
2015-09-01,233.59566666666666,20120796.666666668,0.0,0.0
2015-10-01,264.85548387096776,30750951.612903226,0.0,0.0
2015-11-01,348.8833333333333,72587446.53333333,0.0,0.0
2015-12-01,424.46419354838713,67620967.74193548,0.0,2.6666666666666665
2016-01-01,410.8448387096774,64221945.29032258,0.0,2.6
2016-02-01,404.40793103448283,64697885.93103448,0.0,2.25
2016-03-01,416.52645161290314,75253315.35483871,1.0,2.0
2016-04-01,434.3383333333333,60382506.8,0.0,2.25
2016-05-01,461.9538709677418,72078477.29032259,0.0,3.0
2016-06-01,642.8703333333331,158323424.66666666,0.0,3.75
2016-07-01,661.3558064516131,111425361.41935484,1.0,2.8
2016-08-01,579.5848387096775,86652263.87096775,-1.0,2.25
2016-09-01,605.8483333333332,66813380.0,1.0,2.25
2016-10-01,643.55,68240122.4516129,0.0,2.8
2016-11-01,726.3486666666669,87859103.06666666,0.0,3.0
2016-12-01,828.0600000000002,114734316.12903225,0.0,3.75
2017-01-01,914.9164516129034,165934570.70967743,1.0,4.8
2017-02-01,1062.5332142857144,152955757.14285713,1.0,5.0
2017-03-01,1129.3651612903227,350724385.8064516,1.0,5.75
2017-04-01,1206.6409999999996,325248270.4,0.0,5.4
2017-05-01,1895.3835483870967,1105221189.1612904,1.0,13.0
2017-06-01,2636.204333333333,1482604697.6,0.0,11.75
2017-07-01,2519.4183870967745,1052256677.1612903,0.0,11.4
2017-08-01,3880.9900000000002,2049936020.6451614,0.0,17.0
2017-09-01,4064.836333333333,1856698301.8666666,0.0,16.75
