id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$
EASY2,18808969,830506.53,0.0,$0.02B,$0.00B
COS,18781891,1547143.87,0.0,$0.02B,$0.00B
IDEX,18778220,458389.16,0.0,$0.02B,$0.00B
GBYTE,18328441,5234.43,0.0,$0.02B,$0.00B
GRS,18271267,2782425.05,0.0,$0.02B,$0.00B
OCTO,17982367,1633886.19,0.0,$0.02B,$0.00B
JEX,17916218,6716.5,0.0,$0.02B,$0.00B
NIM,17910328,1487352.81,0.0,$0.02B,$0.00B
DMG,17896050,1994430.82,0.0,$0.02B,$0.00B
EMC3,17771248,12229464.9,0.0,$0.02B,$0.01B
CRE,17212813,2499606.73,0.0,$0.02B,$0.00B
DIP,17188860,602309.23,0.0,$0.02B,$0.00B
AXEL,17171629,193965.18,0.0,$0.02B,$0.00B
RING,17097002,1537137.54,0.0,$0.02B,$0.00B
BTSE,16958765,431599.25,0.0,$0.02B,$0.00B
COMP2,16656671,6496.39,0.0,$0.02B,$0.00B
CRPT,16633331,152329.47,0.0,$0.02B,$0.00B
FSN,16413935,913701.83,0.0,$0.02B,$0.00B
DGD,16316859,224748.08,0.0,$0.02B,$0.00B
GRIN,16237443,9505522.12,0.0,$0.02B,$0.01B
MED,16113048,10257459.65,0.0,$0.02B,$0.01B
STPT,16081404,6612902.17,0.0,$0.02B,$0.01B
GUSD,15993827,2436765.83,0.0,$0.02B,$0.00B
AST,15954736,909958.33,0.0,$0.02B,$0.00B
SAI,15619434,3586.77,0.0,$0.02B,$0.00B
PLTC,15336195,158863.01,0.0,$0.02B,$0.00B
DUSK,15290212,492377.91,0.0,$0.02B,$0.00B
NAS,14628552,2750673.62,0.0,$0.01B,$0.00B
ZCN,14604874,129951.89,0.0,$0.01B,$0.00B
NKN,14318596,536061.47,0.0,$0.01B,$0.00B
CPAY,14203089,78.22,0.0,$0.01B,$0.00B
XNS,13952922,562931.43,0.0,$0.01B,$0.00B
PICKLE,13906598,1903306.26,0.0,$0.01B,$0.00B
LBC,13799466,811993.61,0.0,$0.01B,$0.00B
BOS,13724928,1507.03,0.0,$0.01B,$0.00B
POLS,13644320,1878278.09,0.0,$0.01B,$0.00B
SHA,13517674,725948.24,0.0,$0.01B,$0.00B
SHA,13021753,607908.14,0.0,$0.01B,$0.00B
NEX,12806162,168017.26,0.0,$0.01B,$0.00B
RDN,12749701,722460.22,0.0,$0.01B,$0.00B
MRPH,12745308,958920.39,0.0,$0.01B,$0.00B
MET,12537565,103041.53,0.0,$0.01B,$0.00B
TKN,12505545,310623.61,0.0,$0.01B,$0.00B
BOS,12431584,1862.68,0.0,$0.01B,$0.00B
PLU,12236462,301840.28,0.0,$0.01B,$0.00B
NXT,12233383,1165420.9,0.0,$0.01B,$0.00B
1ST,12115595,291.33,0.0,$0.01B,$0.00B
APL,11977881,575837.28,0.0,$0.01B,$0.00B
CHR,11830070,2420151.52,0.0,$0.01B,$0.00B
KAN,11748171,485941.02,0.0,$0.01B,$0.00B
COCOS,11696922,837608.56,0.0,$0.01B,$0.00B
AERGO,11545303,3912071.51,0.0,$0.01B,$0.00B
QASH,11504260,124813.77,0.0,$0.01B,$0.00B
COV,11499551,16049.08,0.0,$0.01B,$0.00B
GHOST,11309278,340464.91,0.0,$0.01B,$0.00B
DF,11308314,1399088.64,0.0,$0.01B,$0.00B
MDT,11170765,1411112.67,0.0,$0.01B,$0.00B
BTC2,11005726,119.51,0.0,$0.01B,$0.00B
WTC,10818490,1617492.8,0.0,$0.01B,$0.00B
GTO,10792814,10094066.33,0.0,$0.01B,$0.01B
WANATHA,10593170,752144.33,0.0,$0.01B,$0.00B
DHT2,10452131,2258728.54,0.0,$0.01B,$0.00B
ZNN,10396928,319467.09,0.0,$0.01B,$0.00B
VALUE,10295632,26345331.56,0.0,$0.01B,$0.03B
VTC,9891815,101109.01,0.0,$0.01B,$0.00B
PHX,9750918,102871.15,0.0,$0.01B,$0.00B
DCN,9624566,210833.8,0.0,$0.01B,$0.00B
MDA,9616199,651368.41,0.0,$0.01B,$0.00B
PI,9454259,427576.07,0.0,$0.01B,$0.00B
KDA,9436830,278873.44,0.0,$0.01B,$0.00B
QRL,9436594,1035210.49,0.0,$0.01B,$0.00B
PPT,9279047,729570.62,0.0,$0.01B,$0.00B
ETP,9073323,85665.87,0.0,$0.01B,$0.00B
BULL,8990597,83662.12,0.0,$0.01B,$0.00B
XPX,8891492,189120.0,0.0,$0.01B,$0.00B
SKY,8874344,373254.85,0.0,$0.01B,$0.00B
GRID,8799124,129837.24,0.0,$0.01B,$0.00B
VITE,8795870,491499.55,0.0,$0.01B,$0.00B
AOA2,8763697,561182.62,0.0,$0.01B,$0.00B
SRN,8697992,1183965.32,0.0,$0.01B,$0.00B
VALOR,8684680,194915.75,0.0,$0.01B,$0.00B
SEELE,8638305,25866648.54,0.0,$0.01B,$0.03B
RFUEL,8624674,1476254.52,0.0,$0.01B,$0.00B
PAC,8587571,2126.02,0.0,$0.01B,$0.00B
SAN,8541242,8100.64,0.0,$0.01B,$0.00B
NAV,8492394,73961.36,0.0,$0.01B,$0.00B
TEL,8446035,119450.68,0.0,$0.01B,$0.00B
DMT,8445043,350717.76,0.0,$0.01B,$0.00B
PLA3,8441983,755199.57,0.0,$0.01B,$0.00B
SENT,8161730,47124.68,0.0,$0.01B,$0.00B
OST,8115669,2506212.04,0.0,$0.01B,$0.00B
GHST,8074581,21391805.32,0.0,$0.01B,$0.02B
SMART,8073597,116944.14,0.0,$0.01B,$0.00B
FOAM,8037618,21091.45,0.0,$0.01B,$0.00B
SNL,8007916,540176.01,0.0,$0.01B,$0.00B
DOCK,7871231,3423401.77,0.0,$0.01B,$0.00B
ABT,7837815,5018812.07,0.0,$0.01B,$0.01B
BLOCK,7819540,6710.2,0.0,$0.01B,$0.00B
CBAT,7804814,3571.5,0.0,$0.01B,$0.00B
NEBL,7737659,142977.25,0.0,$0.01B,$0.00B
UBQ,7702037,11981.26,0.0,$0.01B,$0.00B
UPP,7588077,488176.02,0.0,$0.01B,$0.00B
GEN,7449754,298699.84,0.0,$0.01B,$0.00B
CUT,7338271,19646.32,0.0,$0.01B,$0.00B
TNB,7265916,186599.1,0.0,$0.01B,$0.00B
WGR,7238081,4912.27,0.0,$0.01B,$0.00B
GO,7200180,205295.19,0.0,$0.01B,$0.00B
APM,7193332,275705.83,0.0,$0.01B,$0.00B
PAY,7111928,23053941.6,0.0,$0.01B,$0.02B
SOUL,7107342,144264.06,0.0,$0.01B,$0.00B
KEY,7093290,932005.07,0.0,$0.01B,$0.00B
INSTAR,7039563,130.84,0.0,$0.01B,$0.00B
CMT,6983514,659794.81,0.0,$0.01B,$0.00B
LOC,6900480,640.84,0.0,$0.01B,$0.00B
ACT,6846947,2496275.94,0.0,$0.01B,$0.00B
MAN,6792401,542749.21,0.0,$0.01B,$0.00B
CHT2,6789403,121821.34,0.0,$0.01B,$0.00B
SWFTC,6751539,4141013.1,0.0,$0.01B,$0.00B
SNTVT,6738856,210854.17,0.0,$0.01B,$0.00B
XIO,6626815,347210.47,0.0,$0.01B,$0.00B
TOMOE,6607191,175719.17,0.0,$0.01B,$0.00B
XMX,6537310,165099.2,0.0,$0.01B,$0.00B
BIX,6536880,23122539.7,0.0,$0.01B,$0.02B
CSC,6471270,9271.59,0.0,$0.01B,$0.00B
LET,6389817,1710028.0,0.0,$0.01B,$0.00B
DOUGH,6369584,139963.57,0.0,$0.01B,$0.00B
EVX,6369144,351253.11,0.0,$0.01B,$0.00B
MHC,6321213,402524.36,0.0,$0.01B,$0.00B
DERO,6312486,596460.63,0.0,$0.01B,$0.00B
HUNT,6279879,3528695.68,0.0,$0.01B,$0.00B
BRD,6202345,1512372.17,0.0,$0.01B,$0.00B
JRT,6082076,572291.7,0.0,$0.01B,$0.00B
XDB,5983705,724434.03,0.0,$0.01B,$0.00B
GVT,5977495,107375.49,0.0,$0.01B,$0.00B
FRM,5951624,707232.22,0.0,$0.01B,$0.00B
XDN,5860028,54121.46,0.0,$0.01B,$0.00B
PART,5800033,634.12,0.0,$0.01B,$0.00B
UTNP,5737527,2233.1,0.0,$0.01B,$0.00B
PRO,5682845,69916.75,0.0,$0.01B,$0.00B
1337,5664216,683.4,0.0,$0.01B,$0.00B
BPT,5580032,82393.99,0.0,$0.01B,$0.00B
MITX,5578096,972974.57,0.0,$0.01B,$0.00B
CNNS,5546181,346602.06,0.0,$0.01B,$0.00B
MOC,5540085,2065781.67,0.0,$0.01B,$0.00B
POA,5523789,143421.59,0.0,$0.01B,$0.00B
TROYTRADE,5469221,833109.8,0.0,$0.01B,$0.00B
EOSDT,5402676,15638.22,0.0,$0.01B,$0.00B
ZANO,5396960,24592.86,0.0,$0.01B,$0.00B
EFX,5393788,30655.78,0.0,$0.01B,$0.00B
EDR,5333507,522790.94,0.0,$0.01B,$0.00B
UDOO,5326965,241370.05,0.0,$0.01B,$0.00B
PMA,5260338,8857.73,0.0,$0.01B,$0.00B
DCN,5239079,210833.8,0.0,$0.01B,$0.00B
POLIS,5237336,6526.93,0.0,$0.01B,$0.00B
HPB,5212518,1652626.33,0.0,$0.01B,$0.00B
DGX,5150015,3513.94,0.0,$0.01B,$0.00B
SNGLS,5127656,120469.36,0.0,$0.01B,$0.00B
WPR,5114359,305924.2,0.0,$0.01B,$0.00B
HYC,5054428,619245.34,0.0,$0.01B,$0.00B
WABI,5050134,300102.27,0.0,$0.01B,$0.00B
CVNT,5034549,502240.62,0.0,$0.01B,$0.00B
TRUE,5008392,2660520.14,0.0,$0.01B,$0.00B
CDT,5003431,100696.72,0.0,$0.01B,$0.00B
TOP2,4957664,154003.91,0.0,$0.00B,$0.00B
VIA,4903394,1267833.23,0.0,$0.00B,$0.00B
BIP3,4900584,8217.8,0.0,$0.00B,$0.00B
LCX,4889563,326823.15,0.0,$0.00B,$0.00B
PRE,4796460,69316.94,0.0,$0.00B,$0.00B
RUFF,4787006,344533.33,0.0,$0.00B,$0.00B
TAU,4777870,33284.33,0.0,$0.00B,$0.00B
ABL,4773697,260834.63,0.0,$0.00B,$0.00B
SPN,4759272,108.75,0.0,$0.00B,$0.00B
SPND,4727115,18083445.04,0.0,$0.00B,$0.02B
VEE,4687151,3889.05,0.0,$0.00B,$0.00B
DEC,4680495,559887.93,0.0,$0.00B,$0.00B
IONC,4662725,120728.86,0.0,$0.00B,$0.00B
QUN,4653581,567808.08,0.0,$0.00B,$0.00B
DODO,4651457,55863.5,0.0,$0.00B,$0.00B
DMD,4629239,3800.5,0.0,$0.00B,$0.00B
YOU,4607651,476523.15,0.0,$0.00B,$0.00B
YFIII,4591184,554250.39,0.0,$0.00B,$0.00B
BASED,4583464,141728.36,0.0,$0.00B,$0.00B
NLG,4566829,5552.78,0.0,$0.00B,$0.00B
ITC,4556381,5930598.71,0.0,$0.00B,$0.01B
SMT,4533174,146083.49,0.0,$0.00B,$0.00B
TCT,4443049,560598.17,0.0,$0.00B,$0.00B
LINKA,4394503,11377.72,0.0,$0.00B,$0.00B
MIDAS,4385131,1459.29,0.0,$0.00B,$0.00B
GNX,4310699,905954.16,0.0,$0.00B,$0.00B
UT,4309834,788345.38,0.0,$0.00B,$0.00B
OAX,4124470,63986.35,0.0,$0.00B,$0.00B
GAME,4121308,189063.54,0.0,$0.00B,$0.00B
EPIC,4113979,209788.16,0.0,$0.00B,$0.00B
BURST,4049882,361.34,0.0,$0.00B,$0.00B
RNT,4036218,68224.59,0.0,$0.00B,$0.00B
FAIRGAME,4029626,4662909.7,0.0,$0.00B,$0.00B
OCE,4026693,78521.49,0.0,$0.00B,$0.00B
NGC,3994954,172.12,0.0,$0.00B,$0.00B
QLC,3964859,391966.16,0.0,$0.00B,$0.00B
CS,3958411,30428.64,0.0,$0.00B,$0.00B
